,Zip Code,Computerized No,Office name,Address
42,10364,000147-0,Taipei Datong Post Office(Taipei Branch 47),"No. 83, Sec. 3, Chengde Rd., Datong Dist., Taipei 10364, Taiwan (R.O.C.)"
43,10569,000148-3,Taipei Xisong Post Office(Taipei Branch 48),"No. 311, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei 10569, Taiwan (R.O.C.)"
44,11008,000149-7,Taipei City Government Post Office(Taipei Branch 49),"B 2, No. 1, Shihfu Rd., Sinyi Dist., Taipei 11008, Taiwan (R.O.C.)"
45,10371,000150-9,Taipei Dalongtong Post Office(Taipei Branch 50),"No. 338, Sec. 3, Chongcing N. Rd., Datong Dist., Taipei 10371, Taiwan (R.O.C.)"
46,11086,000151-2,Taipei Songde Post Office(Taipei Branch 51),"No. 300, Songde Rd., Sinyi Dist., Taipei 11086, Taiwan (R.O.C.)"
47,11151,000152-6,Shilin Tianmu Post Office(Taipei Branch 52),"No. 130, Sec. 7, Jhongshan N. Rd., Shihlin Dist., Taipei 11151, Taiwan (R.O.C.)"
48,10691,000153-0,Taipei Guangwu Post Office(Taipei Branch 53),"No. 16, Lane 52, Sec. 1, Da-an Rd., Da-an Dist., Taipei 10691, Taiwan (R.O.C.)"
49,11050,000154-3,Taipei Wuxing Post Office(Taipei Branch 54),"No. 418-1, Jhuangjing Rd., Sinyi Dist., Taipei 11050, Taiwan (R.O.C.)"
50,10468,000155-7,Taipei Songjiang Rd. Post Office(Taipei Branch 55),"No. 364, Songjiang Rd., Jhongshan Dist., Taipei 10468, Taiwan (R.O.C.)"
51,10572,000156-1,Taipei Yanshou Post Office(Taipei Branch 56),"No. 12, Sec. 5, Minsheng E. Rd., Songshan Dist., Taipei 10572, Taiwan (R.O.C.)"
52,10674,000157-4,Taipei Liuzhangli Post Office(Taipei Branch 57),"1 F, No. 208, Sec. 3, Heping Dist. E. Rd., Da-an Dist., Taipei 10674, Taiwan (R.O.C.)"
53,10066,000158-8,Taipei Siaonanmen Post Office(Taipei Branch 58),"No. 15, Guangjhou St., Jhongjheng Dist., Taipei 10066, Taiwan (R.O.C.)"
54,11143,000159-1,National Palace Museum Post Office(Taipei Branch 59),"WaiShuangsi Dist., National Palace Museum, No. 221, Sec. 2, Jhihshan Rd.,Shihlin Dist., Taipei 11143, Taiwan (R.O.C.)"
55,10359,000161-7,Taipei Bao-an Post Office(Taipei Branch 61),"No. 183, Sec. 2, Chongcing N. Rd., Datong Dist., Taipei 10359, Taiwan (R.O.C.)"
56,10041,000164-8,Taipei Railway Station Post Office(Taipei Branch 64),"No. 3, Beiping W. Rd., Jhongjheng Dist., Taipei 10041, Taiwan (R.O.C.)"
57,10460,000165-1,Taipei Yuanshan Post Office(Taipei Branch 65),"No. 573, Linsen N. Rd., Jhongshan Dist., Taipei 10460, Taiwan (R.O.C.)"
58,10459,000167-9,Taipei Changchun Rd. Post Office(Taipei Branch 67),"No. 129-2, Changchun Rd., Jhongshan Dist., Taipei 10459, Taiwan (R.O.C.)"
59,10449,000168-2,Taipei Minquan Post Office(Taipei Branch 68),"No. 22, Minquan W. Rd., Zhongshan Dist., Taipei 104-49, Taiwan (R.O.C.)"
60,10849,000170-8,Taipei Laosong Post Office(Taipei Branch 70),"No. 51, Gueilin Rd., Wanhua Dist., Taipei 108-49, Taiwan (R.O.C.)"
61,10091,000171-1,Taipei Tingzhou Post Office(Taipei Branch 71),"No. 301, Sec. 3, Tingjhou Rd., Zhongjheng Dist., Taipei 100-91, Taiwan (R.O.C.)"
62,10070,000172-5,Taipei Longkou Post Office(Taipei Branch 72),"No. 68, Sec. 2, Heping Dist. W. Rd., Zhongjheng Dist., Taipei 100-70, Taiwan (R.O.C.)"
63,11162,000173-9,Shilin Zhongzheng Rd. Post Office(Taipei Branch 73),"No. 420, Zhongzheng Rd., Shilin Dist., Taipei 111-62, Taiwan (R.O.C.)"
64,10872,000174-2,Taipei Wanda Rd. Post Office(Taipei Branch 74),"No. 524, Wanda Rd., Wanhua Dist., Taipei 108-72, Taiwan (R.O.C.)"
65,11689,000175-6,Wenshan Xinglong Rd. Post Office(Taipei Branch 75),"No. 171, Sec. 2, Xinglong Rd., Wenshan Dist., Taipei 116-89, Taiwan (R.O.C.)"
66,11169,000177-3,Shilin Hougang Post Office(Taipei Branch 77),"No. 2, Lane 149, Fugang St., Shilin Dist., Taipei 111-69, Taiwan (R.O.C.)"
67,11066,000178-7,Taipei Yongji Post Office(Taipei Branch 78),"No. 168, Yongji Rd., Xinyi Dist., Taipei 110-70, Taiwan (R.O.C.)"
